page	line	mather token	marchant token	book	chapter	section																		
Darius on his deathbed sends for Cyrus																								
51	1	Δαρείου	Δαρείου	1	1	1																		
51	1	καὶ	καὶ	1	1	1																		
51	1	Παρυσάτιδος	Παρυσάτιδος	1	1	1																		
51	1	γίγνονται	γίγνονται	1	1	1																		
51	1	παῖδες	παῖδες	1	1	1																		
51	1	δύο	δύο	1	1	1																		
51	1	,	,	1	1	1																		
51	2	πρεσβύτερος	πρεσβύτερος	1	1	1																		
51	2	μὲν	μὲν	1	1	1																		
51	2	Ἀρταξέρξης	Ἀρταξέρξης	1	1	1																		
51	2	,	,	1	1	1																		
51	2	νεώτερος	νεώτερος	1	1	1																		
51	2	δὲ	δὲ	1	1	1																		
51	2	Κῦρος	Κῦρος	1	1	1																		
51	2	·	·	1	1	1																		
51	2	ἐπεὶ	ἐπεὶ	1	1	1																		
51	3	δὲ	δὲ	1	1	1																		
51	3	ἠσθένει	ἠσθένει	1	1	1																		
51	3	Δαρεῖος	Δαρεῖος	1	1	1																		
51	3	καὶ	καὶ	1	1	1																		
51	3	ὑπώπτευε	ὑπώπτευε	1	1	1																		
51	3	τελευτὴν	τελευτὴν	1	1	1																		
51	3	τοῦ	τοῦ	1	1	1																		
51	3	βίου	βίου	1	1	1																		
51	3	,	,	1	1	1																		
51	4	ἐβούλετο	ἐβούλετο	1	1	1																		
51	4	τὼ	τὼ	1	1	1																		
51	4	παῖδε	παῖδε	1	1	1																		
51	4	ἀμφοτέρω	ἀμφοτέρω	1	1	1																		
51	4	παρεῖναι	παρεῖναι	1	1	1																		
51	4	.	.	1	1	1																		
51	4	ὁ	ὁ	1	1	2																		
51	4	μὲν	μὲν	1	1	2																		
51	4	οὖν	οὖν	1	1	2																		
51	5	πρεσβύτερος	πρεσβύτερος	1	1	2																		
51	5	παρὼν	παρὼν	1	1	2																		
51	5	ἐτύγχανε	ἐτύγχανε	1	1	2																		
51	5	·	·	1	1	2																		
51	5	Κῦρον	Κῦρον	1	1	2																		
51	5	δὲ	δὲ	1	1	2																		
51	5	μεταπέμπεται	μεταπέμπεται	1	1	2																		
51	6	ἀπὸ	ἀπὸ	1	1	2																		
51	6	τῆς	τῆς	1	1	2																		
51	6	ἀρχῆς	ἀρχῆς	1	1	2																		
51	6	ἧς	ἧς	1	1	2																		
51	6	αὐτὸν	αὐτὸν	1	1	2																		
51	6	σατράπην	σατράπην	1	1	2																		
51	6	ἐποίησε	ἐποίησε	1	1	2																		
51	6	·	,	1	1	2																		
51	6	καὶ	καὶ	1	1	2																		
51	6	στρατηγὸν	στρατηγὸν	1	1	2																		
51	7	δὲ	δὲ	1	1	2																		
51	7	αὐτὸν	αὐτὸν	1	1	2																		
51	7	ἀπέδειξε	ἀπέδειξε	1	1	2																		
51	7	πάντων	πάντων	1	1	2																		
51	7	ὅσοι	ὅσοι	1	1	2																		
51	7	εἰς	ἐς	1	1	2																		
51	7	Καστωλοῦ	Καστωλοῦ	1	1	2																		
51	8	πεδίον	πεδίον	1	1	2																		
51	8	ἁθροίζονται	ἁθροίζονται	1	1	2																		
51	8	.	.	1	1	2																		
51	8	ἀναβαίνει	ἀναβαίνει	1	1	2																		
51	8	οὖν	οὖν	1	1	2																		
51	8	ὁ	ὁ	1	1	2																		
51	8	Κῦρος	Κῦρος	1	1	2																		
51	8	λαβὼν	λαβὼν	1	1	2																		
51	9	Τισσαφέρνην	Τισσαφέρνην	1	1	2																		
51	9	ὡς	ὡς	1	1	2																		
51	9	φίλον	φίλον	1	1	2																		
51	9	,	,	1	1	2																		
51	9	καὶ	καὶ	1	1	2																		
51	9	τῶν	τῶν	1	1	2																		
51	9	Ἑλλήνων	Ἑλλήνων	1	1	2																		
51	9	ἔχων	ἔχων	1	1	2																		
51	9	ὁπλίτας	ὁπλίτας	1	1	2																		
51	10	ἀνέβη	ἀνέβη	1	1	2																		
51	10	τριακοσίους	τριακοσίους	1	1	2																		
51	10	,	,	1	1	2																		
51	10	ἄρχοντα	ἄρχοντα	1	1	2																		
51	10	δὲ	δὲ	1	1	2																		
51	10	αὐτῶν	αὐτῶν	1	1	2																		
51	10	Ξενίαν	Ξενίαν	1	1	2																		
51	10	Παρράσιον	Παρράσιον	1	1	2																		
51	11	.	.	1	1	2																		
Cyrus is arrested by his brother, but is released on his mother's intercession																								
51	12	ἐπεὶ	ἐπεὶ	1	1	3																		
51	12	δὲ	δὲ	1	1	3																		
51	12	ἐτελεύτησε	ἐτελεύτησε	1	1	3																		
51	12	Δαρεῖος	Δαρεῖος	1	1	3																		
51	12	καὶ	καὶ	1	1	3																		
51	12	κατέστη	κατέστη	1	1	3																		
51	12	εἰς	εἰς	1	1	3																		
51	12	τὴν	τὴν	1	1	3																		
51	13	βασιλείαν	βασιλείαν	1	1	3																		
51	13	Ἀρταξέρξης	Ἀρταξέρξης	1	1	3																		
51	13	,	,	1	1	3																		
51	13	Τισσαφέρνης	Τισσαφέρνης	1	1	3																		
51	13	διαβάλλει	διαβάλλει	1	1	3																		
51	13	τὸν	τὸν	1	1	3																		
51	14	Κῦρον	Κῦρον	1	1	3																		
51	14	πρὸς	πρὸς	1	1	3																		
51	14	τὸν	τὸν	1	1	3																		
51	14	ἀδελφὸν	ἀδελφὸν	1	1	3																		
51	14	ὡς	ὡς	1	1	3																		
51	14	ἐπιβουλεύοι	ἐπιβουλεύοι	1	1	3																		
