εὐεργεσία False na
-ας -ας False na
[εὐεργέτης], [evepyérns True lex
good Ξεγυξεε, False eng
service, NA False eng
# 2 17 18 kindness,  favor. διηαίρε55,  γενοῦ.
kindness, διηαίρε55, False eng
favor. γενοῦ. False eng
# 3 36 37 evepyeréw,  evepyerjow,  evepyérnoa, εὐεργετέωο,  εὐεργετήσω,  εὐεργέτησα,
εὐεργετέω, False na
εὐεργετήσω, evepyerjow, True pp
εὐεργέτησα, evepyérnoa, True pp
# 4 38 36 evepyérynka,  evepyérnuat,  evepyeT i- εὐεργέτηκα,  εὐεργέτημαι,  εὐεργετή-
εὐεργέτηκα, evepyérynka, True pp
εὐεργέτημαι, evepyérnuat, True pp
εὐεργετή- False na
# 5 42 44 ~  Onv [Epyov,  deed],  do a good service, πιο θὴν [ ἔργον,  ἐἶ664,  (ο ἃ φορά 5εγνῖεε,
θὴν False na
[ἔργον, [ False na
deed], ἔργον, False eng
do ἐἶ664, False eng
a (ο False eng
good ἃ False eng
service, φορά False eng
# 6 17 19 confer a benefit. 40:27 ὦ δεγι:6 712.
confer 40:27 False eng
a ὦ False eng
benefit. δεγι:6 False eng
# 7 41 42 edepyérns,  -ov [evepyeréw],  benefactor. εὐεργέτης,  -ου [εὐεργετέω],  ὀφηεγα κίον,
εὐεργέτης, edepyérns, True lex
-ov -ου False na
[εὐεργετέω], [evepyeréw], True pp
benefactor. ὀφηεγα False eng
# 8 44 45 eiLwvos,  -ov [fdvn,  girdle],  well girded, εὔζωνος,  -ον [ζώνη,  φ» 16],  τοοἱ σίγαὐδωώ,
εὔζωνος, eiLwvos, True lex
-ον -ov True pp
[ζώνη, [fdvn, True lex
girdle], φ» False eng
well 16], False eng
girded, τοοἱ False eng
# 9 34 34 having the lower part of the tunic μανίηρ [6 Ἰονγεῦ ραγί οἵ [86 ἰυπὶς
having μανίηρ False eng
the [6 False eng
lower Ἰονγεῦ False eng
part ραγί False eng
of οἵ False eng
the [86 False eng
tunic ἰυπὶς False eng
# 10 33 34 drawn up and secured by the belt, ἀγάνῃ ὉΡ δπὰ βεουγεά Ἀγ ἴΠ6 βΡεϊϊ,
drawn ἀγάνῃ False eng
up ὉΡ False eng
and δπὰ False eng
secured βεουγεά False eng
by Ἀγ False eng
the ἴΠ6 False eng
belt, βΡεϊϊ, False eng
# 11 31 31 so that the wearer might not be 80 ἰμαῖϊ ἴμ6 ψϑᾶγοῦ τϊρῃϊ ποῖ ὲ
so 80 False eng
that ἰμαῖϊ False eng
the ἴμ6 False eng
wearer ψϑᾶγοῦ False eng
might τϊρῃϊ False eng
not ποῖ False eng
be ὲ False eng
# 12 36 38 hampered in running or in any active Βαιηρεγαά ἴῃ συπηΐῃρ οΥ ἴῃ ΔΗΥ͂ δοίϊνα
hampered Βαιηρεγαά False eng
in ἴῃ False eng
running συπηΐῃρ False eng
or οΥ False eng
in ἴῃ False eng
any ΔΗΥ͂ False eng
active δοίϊνα False eng
# 13 35 36 work; hence agile,  nimble; applied Μοὶ; ἤδηοα ἀρίζο,  γ1ηεῤ 6,  ΔΡΡ]1εα
work; Μοὶ; False eng
hence ἤδηοα False eng
agile, ἀρίζο, False eng
nimble; γ1ηεῤ False eng
applied 6, False eng
# 14 35 37 to heavy-armed as well as to light- ἴο Ποδνυ-δυπιεα 85 νγῈ}} ἂ5 ἴο Ἰρῃϊι-
to ἴο False eng
heavy-armed Ποδνυ-δυπιεα False na
as 85 False eng
well νγῈ}} False eng
as ἂ5 False eng
to ἴο False eng
light-armed Ἰρῃϊι- False na
# 15 35 36 armed troops. See Fig. 59,  p. 185. δυιηθὰ ἴσοορβ. ὅες ΕἸρ. 59,  Ρ. 185.
troops. ἴσοορβ. False eng
See True pp
Fig. ΕἸρ. False na
59, 59, False na
p. Ρ. False eng
185. 185. False na
# 16 43 44 ebfOera,  -ας [ednOns],  semplicity,  fool- εὐήθεια,  -ας [εὐήθης],  εἰ» Ρίϊεῖν,  700 ἐ-
εὐήθεια, ebfOera, True lex
-ας -ας False na
[εὐήθης], [ednOns], True lex
simplicity, εἰ» False na
fool- Ρίϊεῖν, False na
# 17 8 10 wshness. ἐς ἦγι655.
ishness. True form
# 18 42 42 edt Ons,  -es [F00s,  disposition],  good- εὐήθης,  -ες [ἦθος,  οΐεῥοοίίο)11,  ροοαί.
εὐήθης, edt True lex
-ες Ons, True pp
[ἦθος, -es True lex
disposition], ροοαί. False eng
# 19 33 37 * natured,  simple-minded; hence, " κπαίμγεή,  εἰριῤῥεονεϊπαφα,  Ὠδηςα,
good-natured, κπαίμγεή, False eng
simple-minded; εἰριῤῥεονεϊπαφα, False na
hence, Ὠδηςα, False eng
# 20 16 16 silly,  foolish. οὐδέν,  γοοἶϊεά.
silly, οὐδέν, False eng
foolish. γοοἶϊεά. False eng
# 21 43 44 ed0tpéopar [etOvuos ],  be tn good spirits, εὐθυμέομαι [εὔθυμος],  δέ ἱ»ι σοοαῖ ςῤ1)115,
εὐθυμέω ed0tpéopar True pp
[εὔθυμος], [etOvuos True lex
mid.,
be ἱ»ι False eng
in σοοαῖ False eng
good ςῤ1)115, False eng
spirits, NA False eng
# 22 14 13 enjoy oneself. 7170» ογρεϑοξ
enjoy 7170» False eng
oneself. ογρεϑοξ False eng
